auc,precision,recall,accuracy,model,sampling,rep
0.9240349951232761,0.8827014218009479,0.9174876847290641,0.8577142857142858,node_nonetwork,node,1
0.9250446775806511,0.8841607565011821,0.9211822660098522,0.8611428571428571,node_basic,node,1
0.9258163110979419,0.8854207822994864,0.9199507389162561,0.8614285714285714,node_full,node,1
0.9335388193389879,0.8910382945124359,0.9265188834154351,0.87,egoalter_basic,node,1
0.932569261824512,0.8901185770750988,0.9244663382594417,0.868,egoalter_full,node,1
0.9278750193844014,0.8702928870292888,0.9411764705882353,0.8617142857142858,node_nonetwork,deg,1
0.9282967623912982,0.8812767613857532,0.9313039901275195,0.8651428571428571,node_basic,deg,1
0.92846915369338745,0.8809338521400778,0.9313039901275195,0.8648571428571429,node_full,deg,1
0.9345844272933911,0.9028617492946392,0.9214315096668038,0.8765714285714286,egoalter_basic,deg,1
0.9373980996167757,0.8904593639575972,0.9329494035376388,0.8737142857142857,egoalter_full,deg,1
0.9256168939738206,0.8948840927258194,0.9127598858540562,0.8636753358102315,node_nonetwork,edge,1
0.9265101693871554,0.9077868852459017,0.9029759478189971,0.8676764789939982,node_basic,edge,1
0.9270589179831307,0.9088295687885011,0.9021606196494089,0.8679622749356959,node_full,edge,1
0.9325721265333197,0.9219409282700421,0.8907460252751732,0.8705344384109746,egoalter_basic,edge,1
0.9358217471251108,0.917864476386037,0.9111292295148797,0.8805372963703916,egoalter_full,edge,1
0.916163994407417,0.8927419354838709,0.9003660024400163,0.854,node_nonetwork,node,2
0.916732003317422,0.8926986688180718,0.8999593330622204,0.8537142857142858,node_basic,node,2
0.9165948842476753,0.8920339668418924,0.8971126474176494,0.8514285714285714,node_full,node,2
0.9230340113890865,0.8995508370763577,0.8958926392842619,0.8565714285714285,egoalter_basic,node,2
0.9233551278430233,0.9002442996742671,0.8991459943066287,0.8591428571428571,egoalter_full,node,2
0.9216381340242054,0.8768283294842186,0.9305555555555556,0.86,node_nonetwork,deg,2
0.9220210026342603,0.8817330210772834,0.9227941176470589,0.8594285714285714,node_basic,deg,2
0.9220866261587017,0.8817330210772834,0.9227941176470589,0.8594285714285714,node_full,deg,2
0.931256834165859,0.8888452474469757,0.9244281045751634,0.8662857142857143,egoalter_basic,deg,2
0.9325460063619871,0.8839458413926499,0.9334150326797386,0.8677142857142857,egoalter_full,deg,2
0.917758274048871,0.8699311400153023,0.9319672131147541,0.8554285714285714,node_nonetwork,edge,2
0.9181816424373647,0.8753869969040248,0.9270491803278689,0.8571428571428571,node_basic,edge,2
0.9182090937210021,0.8770364623739333,0.9266393442622951,0.8582857142857143,node_full,edge,2
0.9266911537271884,0.8815993788819876,0.9307377049180328,0.8645714285714285,egoalter_basic,edge,2
0.9271794772656975,0.8782273603082852,0.934016393442623,0.8637142857142858,egoalter_full,edge,2
0.9190765842582758,0.8712380952380953,0.9315682281059063,0.8554285714285714,node_nonetwork,node,3
0.9199236008926223,0.8691019786910198,0.9303462321792261,0.8528571428571429,node_basic,node,3
0.9194063477523655,0.8698969858832507,0.9287169042769857,0.8525714285714285,node_full,node,3
0.9292189555540397,0.8726860596902153,0.9409368635437881,0.8622857142857143,egoalter_basic,node,3
0.9291293035402801,0.8707611152976639,0.9413441955193482,0.8608571428571429,egoalter_full,node,3
0.9203128543598988,0.8752904725019365,0.9243353783231084,0.8551428571428571,node_nonetwork,deg,3
0.9209587222206069,0.8868149324861001,0.9132924335378323,0.858,node_basic,deg,3
0.9197922057783076,0.8824693312227938,0.9120654396728016,0.8537142857142858,node_full,deg,3
0.9287746537570629,0.8951612903225806,0.9079754601226994,0.8614285714285714,egoalter_basic,deg,3
0.9294088913441688,0.8840125391849529,0.9226993865030675,0.8614285714285714,egoalter_full,deg,3
0.9186881410418787,0.8650306748466258,0.9299258037922506,0.8508571428571429,node_nonetwork,edge,3
