Y_true,Y_no_model,Y_hat_node_nonetwork,Y_hat_node_basic,Y_hat_node_full,Y_hat_edge_nonetwork,Y_hat_edge_basic,Y_hat_edge_full,Y_hat_egoalter_basic,Y_hat_egoalter_full,majority_group_homophily,majority_group_homophily_normalized,sampling,rep
1487.5487925509876,1614.3590019404091,1678.3417964618807,1597.6007093653382,1573.4593368461656,1346.036403005885,1386.6460244430873,1375.83344237159,1473.915901697217,1446.3743122621672,0.531267425911067,-0.24104653441276136,node,1
1487.5487925509876,732.779036366274,1569.9610563911597,1606.00493616198,1611.6602465578376,1149.540590166424,1215.1354000164863,1205.5663607290503,1530.1384410029589,1483.6020764755028,0.531267425911067,-0.24104653441276136,deg,1
1487.5487925509876,1281.033776849383,1595.6786187432317,1609.2213899588446,1603.57997073789,1384.2401249280435,1416.3021501748833,1408.2761557063832,1509.10854471209,1464.9386095463537,0.531267425911067,-0.24104653441276136,edge,1
1476.3310797845206,1506.1401818258341,1798.7836140061816,1728.1271468128155,1664.7406413658266,1519.5111992048805,1576.8497986047078,1590.7044752051122,1573.830051020158,1543.0190827323795,0.527261099923043,-0.2467698572527956,node,2
1476.3310797845206,812.3925268393929,1661.2255930327813,1693.0967198897406,1669.9360960073848,1249.3795945503612,1469.3506804413548,1487.9428511737901,1644.9237201680055,1519.2906490451658,0.527261099923043,-0.2467698572527956,deg,2
1476.3310797845206,1475.2030141527325,1647.1289412685612,1698.0910882209575,1690.5482364395602,1399.862429914432,1444.3381549628145,1434.0406942628006,1629.1811432213005,1490.0801697388295,0.527261099923043,-0.2467698572527956,edge,2
1496.3409809041489,1348.7755512919027,1869.265457700609,1843.3083402753716,1817.6175600501906,1476.554550875101,1539.827856664557,1549.8418007867795,1709.4782365007238,1700.4975832747332,0.5344074931800532,-0.23656072402849537,node,3
1496.3409809041489,754.6019971712473,1659.1752734754343,1690.2886327426838,1691.7933286907687,1287.2521495003093,1304.9798638708082,1299.4051578805909,1594.478756678638,1526.5186714523447,0.5344074931800532,-0.23656072402849537,deg,3
1496.3409809041489,1555.3757269236567,1683.1218251722873,1710.931431670314,1712.9741724887288,1548.7220169872128,1590.7787302003494,1586.1198802436636,1625.2421663498012,1572.445680013365,0.5344074931800532,-0.23656072402849537,edge,3
1484.4139051880472,1421.6006748313341,1722.1710435028217,1665.8339731336926,1648.2377476146644,1289.9302650838824,1312.5875186439157,1308.3805680161854,1516.0176989980525,1477.7062700984745,0.5301478232814455,-0.2426459667407921,node,4
1484.4139051880472,826.3351926937855,1724.436557653616,1739.7543546582096,1745.2296449817547,1545.3134757276907,1476.3243339565433,1392.9236808997941,1662.0243559603798,1595.967644935939,0.5301478232814455,-0.2426459667407921,deg,4
