Y_true,Y_no_model,Y_hat_node_nonetwork,Y_hat_node_basic,Y_hat_node_full,Y_hat_edge_nonetwork,Y_hat_edge_basic,Y_hat_edge_full,Y_hat_egoalter_basic,Y_hat_egoalter_full,majority_group_homophily,majority_group_homophily_normalized,sampling,rep
2435.8732108727027,2279.680388083067,2119.2005347045224,2114.101932157681,2123.379030576675,2433.333563236464,2393.338746000445,2382.638153361096,2295.604124229229,2300.6993397858323,0.8699547181688224,0.5665157272294081,node,1
2435.8732108727027,1673.0464138898296,2151.0584111465982,2125.9823229464523,2128.7083431486785,2612.2558987800985,2458.7832073327977,2417.8845014433273,2286.529927886212,2324.46390384438,0.8699547181688224,0.5665157272294081,deg,1
2435.8732108727027,2470.2873928885765,2246.122610955928,2213.713067925599,2214.250587790593,2509.0904838906267,2469.063985793971,2466.1088045087326,2344.1390159028147,2382.3786702989655,0.8699547181688224,0.5665157272294081,edge,1
2436.1181837849977,2761.3478001802864,2295.4824466921505,2310.0667014300006,2303.2512279952693,2464.3610177038727,2451.929420663127,2427.4963574827148,2459.15502943425,2473.4597734934314,0.870042208494642,0.5668073616488066,node,2
2436.1181837849977,1564.526862089146,2224.572508210198,2186.714537725726,2184.6894376180358,2642.314853080681,2520.561720717129,2494.7249612311175,2324.5188961333297,2353.859514496283,0.870042208494642,0.5668073616488066,deg,2
2436.1181837849977,2278.447434482168,2041.1878581282635,2018.6294449292948,2023.9745961945691,2285.5176733231774,2298.6861163407843,2310.671068379765,2145.3498195714765,2217.4981791430264,0.870042208494642,0.5668073616488066,edge,2
2437.8223426484824,2456.836016436788,2054.3891102993284,2118.9848347001493,2126.049358467805,2460.075790219937,2386.7692034095794,2381.1347532064424,2265.19951604329,2271.6441319197365,0.8706508366601723,0.5688361222005743,node,3
2437.8223426484824,1769.8141524682342,2213.278953805794,2207.905809620428,2198.036852216073,2638.064042336022,2490.6971722302337,2436.7223607536102,2353.510138426309,2359.414236996699,0.8706508366601723,0.5688361222005743,deg,3
2437.8223426484824,2396.7119462237556,2288.5874909136633,2251.0269913397055,2253.752983660676,2575.2237430587766,2485.551938924756,2513.5492592808946,2365.839767688873,2385.5413601445152,0.8706508366601723,0.5688361222005743,edge,3
2448.8212568019044,2352.242338726348,2123.5702655142395,2190.8534906389054,2193.213338950348,2437.9677014876856,2376.290020958978,2371.441296044981,2355.3719867860846,2362.2187918702352,0.8745790202863944,0.5819300676213149,node,4
