Y_true,Y_no_model,Y_hat_node_nonetwork,Y_hat_node_basic,Y_hat_node_full,Y_hat_edge_nonetwork,Y_hat_edge_basic,Y_hat_edge_full,Y_hat_egoalter_basic,Y_hat_egoalter_full,majority_group_homophily,majority_group_homophily_normalized,sampling,rep
1731.8765176949257,1856.9243639765498,1870.109323163611,1834.2650029305846,1821.9054483795135,1669.4815015666288,1695.2930743252327,1696.0076933668652,1764.0974274986088,1737.3578302959602,0.6185273277481877,-0.11638953178830316,node,1
1731.8765176949257,896.806815246978,1854.4127868666742,1855.3929761067538,1858.8067879283187,1709.3351708058392,1505.729985282155,1442.7136774637681,1808.6095797321364,1795.4212328573112,0.6185273277481877,-0.11638953178830316,deg,1
1731.8765176949257,1666.8524336916387,1685.0960047176013,1688.1876384235698,1688.0416005704,1534.66958013736,1535.2654778412937,1539.7728850263277,1640.8629853622042,1610.123067646796,0.6185273277481877,-0.11638953178830316,edge,1
1661.466765928924,1447.629466530964,1815.375434447212,1715.5465291133069,1675.6000681618013,1336.538588278422,1437.9769974217477,1445.249707750389,1629.5759914664218,1612.8834125591527,0.5933809878317585,-0.1523128745260592,node,2
1661.466765928924,1033.6035688343661,1778.8263092349473,1819.037056001981,1819.1415871626518,1621.1588888488213,1807.9997428963084,1904.7103501294998,1745.0000824111294,1743.5809513792578,0.5933809878317585,-0.1523128745260592,deg,2
1661.466765928924,1711.7010714804646,1772.2250060926629,1814.0650475367952,1815.4324925324104,1620.3633677903942,1643.084807254129,1655.9074533204011,1777.255707589139,1748.6643518508633,0.5933809878317585,-0.1523128745260592,edge,2
1667.8474837880503,1608.0109249054965,1790.7844321547152,1773.7260397620535,1763.8490517555158,1611.8239211355367,1711.359136698081,1703.004411427119,1686.7234283938244,1669.5492909077725,0.5956598156385894,-0.14905740623058653,node,3
1667.8474837880503,900.6847977435916,1691.0169428309039,1734.396275820024,1734.1810234369918,1391.634592923061,1479.4947839538693,1496.0059939910855,1673.3362941401792,1638.4763185136203,0.5956598156385894,-0.14905740623058653,deg,3
1667.8474837880503,1684.8013245039149,1861.3343895813487,1863.6356170485742,1854.1841157701033,1697.9899794148819,1723.1295389886682,1714.7083995380588,1799.2786022415498,1769.0098420855757,0.5956598156385894,-0.14905740623058653,edge,3
1693.1369358746954,1618.1374438644366,1751.7127645853195,1740.002910993382,1740.4582157083887,1567.8636007905034,1601.6516363733554,1606.3636567434905,1673.5724823099913,1653.7143234437153,0.6046917628123912,-0.13615462455372676,node,4
