Y_true,Y_no_model,Y_hat_node_nonetwork,Y_hat_node_basic,Y_hat_node_full,Y_hat_edge_nonetwork,Y_hat_edge_basic,Y_hat_edge_full,Y_hat_egoalter_basic,Y_hat_egoalter_full,majority_group_homophily,majority_group_homophily_normalized,sampling,rep
1965.5754346693175,1888.9732798618338,1963.88856170531,1963.4057620165213,1971.8626156541625,1965.2166007476744,1949.135425571323,1951.780988085771,1992.2089010915975,1982.5930827997618,0.7019912266676134,0.006637422225378071,node,1
1965.5754346693175,1249.9924714448985,1952.5449773006253,1952.6120537412878,1952.5125241562478,2023.235545522367,2043.516137769087,2042.5813936166774,1961.4603696394843,1951.8290492984956,0.7019912266676134,0.006637422225378071,deg,1
1965.5754346693175,1906.7016761567254,1882.4861635873349,1870.4381097135013,1868.9259458576873,1881.4123917625468,1856.6963451655806,1868.5601368613554,1871.6826346197315,1885.2130167184293,0.7019912266676134,0.006637422225378071,edge,1
1967.2082612798372,2066.6318049410424,2004.4020223183504,2028.596173248638,2035.604673525477,2193.295144253516,2071.5006187791632,2085.696770965214,2018.5895803182946,2031.5891284056033,0.7025743790285133,0.008581263428377726,node,2
1967.2082612798372,1342.8800347526674,2042.5238653938436,2047.639740525905,2045.2134237128375,2113.141475099752,2115.2705914986254,2141.5730153464783,2030.6897099300068,2029.1384060643409,0.7025743790285133,0.008581263428377726,deg,2
1967.2082612798372,2037.5191216651249,2010.3012901656082,2038.7619908656397,2040.4112019126528,1960.389254438996,2018.0916517106639,2022.5559419281328,2050.753000582371,2033.844968425,0.7025743790285133,0.008581263428377726,edge,2
1922.849352914185,1919.7242176127984,1938.0466294411303,1965.2914137830928,1967.6258770534448,2037.9649446997992,1981.7308790118007,1962.7445549116906,1969.6165908764203,1973.9498861059983,0.6867319117550661,-0.0442269608164462,node,3
1922.849352914185,1228.656076445158,1904.729713349489,1915.2317155900673,1915.6920110785184,1852.0192594455882,1939.5120550235206,1982.0412849863185,1900.0040729053326,1901.5344410975952,0.6867319117550661,-0.0442269608164462,deg,3
1922.849352914185,1736.4003134896584,1839.5240552665311,1855.1288042435303,1855.5883014479375,1791.1580373298914,1738.984817922321,1734.2932400243394,1837.680043563383,1847.0650730929503,0.6867319117550661,-0.0442269608164462,edge,3
2008.308738049713,1763.1094762613593,1953.6497573993843,1963.5666846867464,1965.2092885167253,1957.2129598237805,2008.503764638459,2003.2065789812677,1967.2394722531808,1967.9674437020644,0.7172531207320403,0.05751040244013442,node,4
