Y_true,Y_no_model,Y_hat_node_nonetwork,Y_hat_node_basic,Y_hat_node_full,Y_hat_edge_nonetwork,Y_hat_edge_basic,Y_hat_edge_full,Y_hat_egoalter_basic,Y_hat_egoalter_full,majority_group_homophily,majority_group_homophily_normalized,sampling,rep
2284.9272471085283,2406.0815063494765,2208.9901154949566,2265.738026105563,2288.8168779815433,2528.511259374412,2412.467113196097,2395.7403928642557,2342.2634973262843,2355.1600871912215,0.816045445395903,0.3868181513196766,node,1
2284.9272471085283,1480.63529410449,2168.2010026669914,2142.3848957663004,2142.0531578374503,2363.0668012883357,2405.979121337331,2432.2904767569526,2233.946130869918,2233.355505458617,0.816045445395903,0.3868181513196766,deg,1
2284.9272471085283,2392.4803102923565,2188.0758199097863,2188.014912038373,2188.396323669858,2301.342152882574,2298.205007385993,2297.1343675072853,2265.5408557101814,2286.265785368593,0.816045445395903,0.3868181513196766,edge,1
2304.641317341743,2482.9109925824228,2142.6906182725147,2156.9539733657075,2171.713734784939,2318.315252393284,2299.3847385326044,2300.8987118319014,2252.9581174359537,2255.476999574106,0.8230861847649082,0.41028728254969427,node,2
2304.641317341743,1585.3150273907886,2246.4803233437306,2227.965168386447,2223.301455574732,2466.289378197513,2314.0211480244693,2253.377902967949,2295.580380064771,2318.732226863505,0.8230861847649082,0.41028728254969427,deg,2
2304.641317341743,2309.4358674844584,2077.169838836013,2035.7437229472478,2038.384304537311,2192.836464503352,2164.6292945648206,2171.7433242673997,2113.0701223208775,2143.7948827518467,0.8230861847649082,0.41028728254969427,edge,2
2258.0559155875408,2104.538895241493,1971.442544882725,2023.3544630418287,2038.5869976009199,2277.1287827696306,2231.5671642216907,2220.3671146994816,2146.704515710264,2147.8061954479776,0.8064485412812645,0.35482847093754855,node,3
2258.0559155875408,1423.9201361599187,2213.730587049818,2216.5309570622544,2214.7832534026293,2263.017447580053,2338.295536907291,2300.8111799914936,2333.058388204793,2277.015219593336,0.8064485412812645,0.35482847093754855,deg,3
2258.0559155875408,2355.495078195389,2279.889541260085,2241.0013527580936,2241.6491286920264,2421.3082397451794,2375.1177370350388,2383.7052871538804,2342.9989225637355,2328.8542997272484,0.8064485412812645,0.35482847093754855,edge,3
2288.6054730396695,2232.426106402487,1969.2839033916841,2008.656324212792,2013.774743769718,2207.337488025739,2156.273057088029,2157.0272334232714,2096.79577557005,2098.3717136331547,0.8173590975141677,0.3911969917138924,node,4
2288.6054730396695,1716.8317961028658,2064.3067076314974,2019.0785378641594,2022.371748870515,2352.965698533991,2248.6661347358595,2201.9955220579163,2107.171978223011,2138.2123480984246,0.8173590975141677,0.3911969917138924,deg,4
2288.6054730396695,2366.6728249743437,2143.1678415610563,2141.221101326731,2140.925903643579,2312.1261691278924,2300.5618030330534,2298.7390103940893,2248.268980613216,2251.4636601082234,0.8173590975141677,0.3911969917138924,edge,4
2283.1864987580566,2297.2012781041917,2086.1098028932747,2092.3905506931005,2150.8458715738757,2349.099703215616,2287.088940720198,2312.6348189611626,2232.768410730067,2263.674620097429,0.8154237495564488,0.38474583185482947,node,5
2283.1864987580566,1378.8962331236266,2073.7614714309047,2058.1402948582727,2058.9522909026145,2368.9644667456146,2250.586634451362,2238.091548899676,2148.4071259980074,2178.750295092089,0.8154237495564488,0.38474583185482947,deg,5
